group,trialNum,position,row,col,dist to center,quadrant,sprite image difference,reaction time,reaction time (no),correct position mentioned,late,manish continuous,psnr,psnr_bin,ssim,ssim_bin,psnr dog to alpha,psnr alpha to cat,ssim dog to alpha,,ssim alpha to cat,,manish dog to alpha,,manish alpha to cat,alpha_to_cat_similarity_group
1,97,"2,3",2,3,6.800735254,Top Left,l,1.09,1.09,correct,FALSE,0.133655,10.56458774,high,0.430848026,medium,14.35243978,14.45106499,0.695856139,medium,0.813388525,high,0.375356,low,0.265063,low
1,98,"8,10",8,10,2.5,Bottom Right,h,0.97,0.97,correct,FALSE,0.741974,10.06407798,high,0.471237997,medium,12.8613049,13.91766946,0.659242311,medium,0.718854645,high,0.764273,high,0.849275,high
1,99,"5,7",5,7,1.802775638,Top Left,h,0.84,0.84,correct,FALSE,0.747937,9.302374,medium,0.146219451,low,10.57046,14.78080315,0.399254733,low,0.647512864,medium,0.69043,medium,0.785063,high
1,100,"4,8",4,8,2.061552813,Top Left,l,0.95,0.95,correct,FALSE,0.140752,7.796163948,low,0.243730855,low,14.63895589,10.95056531,0.657798728,medium,0.54002838,medium,0.320675,low,0.30832,low
2,1,"8,2",8,2,6.800735254,Bottom Left,m,did not see,did not see,incorrect,FALSE,0.503689,10.48672742,high,0.323602818,low,13.37275327,14.35221457,0.604297192,medium,0.728889203,high,0.427817,low,0.494826,low
2,2,"3,5",3,5,4.609772229,Top Left,h,7.47 late,7.47,incorrect,TRUE,0.757983,10.13658799,high,0.1985744,low,11.71430297,13.95804308,0.426211827,medium,0.650370153,medium,0.287501,low,0.371619,low
2,3,"3,11",3,11,3.905124838,Top Right,h,1.76,1.76,correct,FALSE,0.739741,12.97809717,high,0.57621325,medium,14.39417639,14.49449471,0.702438435,high,0.722998537,high,0.300628,low,0.368617,low
2,4,"4,1",4,1,7.762087348,Top Left,l,1.55,1.55,correct,FALSE,0.131703,10.19838024,high,0.218051144,low,10.22316355,15.72851359,0.427485508,medium,0.691529169,medium,0.220884,low,0.553676,medium
2,5,"1,10",1,10,5.220153254,Top Right,m,1.11,1.11,correct,FALSE,0.499959,10.32626235,high,0.286714527,low,11.19447818,14.2366771,0.497438751,medium,0.649467159,medium,0.563235,medium,0.678726,medium
2,6,"7,6",7,6,2.692582404,Bottom Left,h,0.96,0.96,correct,FALSE,0.756419,11.65619691,high,0.275797555,low,14.48470332,13.39998735,0.527994,medium,0.712493068,high,0.280259,low,0.343404,low
2,7,"5,5",5,5,3.640054945,Top Left,m,0.52,0.52,correct,FALSE,0.502465,11.24589236,high,0.273838784,low,14.15985759,13.58914319,0.562401451,medium,0.693121,medium,0.359365,low,0.346689,low
2,8,"2,9",2,9,4.031128874,Top Right,l,1.15,1.15,correct,FALSE,0.141383,5.259092283,low,0.191067006,low,7.472157105,15.11903036,0.407429085,medium,0.794420219,high,0.422637,low,0.339625,low
2,9,"3,5",3,5,4.609772229,Top Left,h,0.48,0.48,correct,FALSE,0.757983,10.13658799,high,0.1985744,low,11.71430297,13.95804308,0.426211827,medium,0.650370153,medium,0.287501,low,0.371619,low
2,10,"7,12",7,12,3.640054945,Bottom Right,h,1,1,correct,FALSE,0.739467,6.976369602,low,0.340689819,low,11.06907313,12.92668959,0.625368526,medium,0.716007003,high,0.745872,high,0.889333,high
2,11,"6,11",6,11,2.5,Bottom Right,h,0.6,0.6,correct,FALSE,0.739862,10.99470967,high,0.385230702,low,14.87441399,13.37617557,0.635635585,medium,0.69913905,medium,0.441565,low,0.4804,low
2,12,"3,6",3,6,3.905124838,Top Left,m,0.7,0.7,correct,FALSE,0.503727,7.764464,low,0.226812087,low,8.927291831,16.85548215,0.434222,medium,0.769897502,high,0.430121,low,0.489793,low
2,13,"7,10",7,10,1.802775638,Bottom Right,m,0.41,0.41,correct,FALSE,0.504616,8.846064443,medium,0.264185511,low,10.39642952,15.29320027,0.498121412,medium,0.767084075,high,0.482822,low,0.627348,medium
2,14,"10,11",10,11,4.716990566,Bottom Right,l,did not see,did not see,incorrect,FALSE,0.151233,10.4232526,high,0.15361466,low,10.79656751,16.32892687,0.415566775,medium,0.720374659,high,0.277529,low,0.680981,medium
2,15,"3,9",3,9,3.041381265,Top Right,m,0.78,0.78,correct,FALSE,0.504792,10.31849384,high,0.271206972,low,13.96853889,12.48458473,0.58159587,medium,0.615691469,medium,0.32786,low,0.308924,low
2,16,"5,10",5,10,1.802775638,Top Right,h,1.13,1.13,correct,FALSE,0.740714,9.932323,medium,0.239574697,low,12.3850021,14.83577161,0.506066175,medium,0.692409133,medium,0.753412,high,0.678145,medium
2,17,"7,15",7,15,6.576473219,Bottom Right,m,0.79,0.79,correct,FALSE,0.502179,7.377111724,low,0.375648,low,8.733071518,20.23847609,0.546844158,medium,0.885705169,high,0.509461,medium,0.880015,high
2,18,"6,9",6,9,0.5,Bottom Right,m,0.58,0.58,correct,FALSE,0.504844,8.173941,low,0.293603408,low,11.09340575,13.34785152,0.511369419,medium,0.68037281,medium,0.357873,low,0.275719,low
